participacion	3032772	77.17	31
abstenciones	897260	22.83	-
blancos	28105	0.93	-
nulos	8379	0.28	-
PSOE	1260637	41.68	14
CiU	582054	19.25	6
PP	481026	15.90	5
ESQUERRA	428133	14.16	4
ICV-EUiA	197319	6.52	2
C's	-	-	-
EV-AE	26275	0.87	-
PACMA	-	-	-
EV-LV	-	-	-
UPyD	-	-	-
RC	-	-	-
Ei	1498	0.05	-
PCPC	1447	0.05	-
PDLPEA	-	-	-
CENB	2649	0.09	-
PUM+J	-	-	-
P.O.S.I.	-	-	-
IR	1704	0.06	-
DN	1000	0.03	-
PFiV	1528	0.05	-
FE de las JONS	1429	0.05	-
A.M.D.	-	-	-
PxCat	-	-	-
PH	1082	0.04	-
FA	-	-	-
PLCI	-	-	-
E-2000	-	-	-
AES	-	-	-
AN	-	-	-
L.I.(LIT-CI)	-	-	-
PCaC	-	-	-
SAIN	-	-	-
POSI	2558	0.08	-
CDS	2236	0.07	-
FE	1013	0.03	-
PNCA	569	0.02	-
MSR	548	0.02	-
PADE	508	0.02	-
N	428	0.01	-
FDE	338	0.01	-
LI (LIT-CI)	309	0.01	-
IC-V	-	-	-
IU	-	-	-
LV-GV	-	-	-
EV-AV	-	-	-
GIL	-	-	-
EC	-	-	-
PLN	-	-	-
FEI-FE 2000	-	-	-
ES2000	-	-	-
