ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;1992;CA;Catalunya                ;;;;;;;;;CiU        ;Convergència i Unió                               ;1.221.233;46,19;70
A;1992;CA;Catalunya                ;;;;;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;728.311;27,55;40
A;1992;CA;Catalunya                ;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;210.366;7,96;11
A;1992;CA;Catalunya                ;;;;;;;;;IC         ;Iniciativa per Catalunya                          ;171.794;6,50;7
A;1992;CA;Catalunya                ;;;;;;;;;PP         ;Partit Popular                                    ;157.772;5,97;7
A;1992;CA;Catalunya                ;;;;;;;;;C.D.S.     ;Centre Democràtic i Social                        ;24.033;0,91;0
A;1992;CA;Catalunya                ;;;;;;;;;PCC        ;Partit dels Comunistes de Catalunya               ;22.181;0,84;0
A;1992;CA;Catalunya                ;;;;;;;;;EV-UVE     ;Els Verds-Unió Verda                              ;14.041;0,53;0
A;1992;CA;Catalunya                ;;;;;;;;;RUIZ-MATEOS;A.E. José María Ruiz Mateos                       ;13.067;0,49;0
A;1992;CA;Catalunya                ;;;;;;;;;AV-MEC     ;Alternativa Verda-Moviment Ecologista de Catalunya;10.323;0,39;0
A;1992;CA;Catalunya                ;;;;;;;;;P.S.T.     ;Partido Socialista de los Trabajadores            ;10.270;0,39;0
A;1992;CA;Catalunya                ;;;;;;;;;L.E.       ;Los Ecologistas                                   ;9.879;0,37;0
A;1992;CA;Catalunya                ;;;;;;;;;P.E.C.VERDE;Partit Ecologista de Catalunya VERDE              ;7.786;0,29;0
A;1992;CA;Catalunya                ;;;;;;;;;CLL        ;Catalunya Lliure                                  ;5.241;0,20;0
A;1992;CA;Catalunya                ;;;;;;;;;P.O.R.E.   ;Partit Obrer Revolucionari d'Espanya              ;2.258;0,09;0
A;1992;CA;Catalunya                ;;;;;;;;;SI         ;Socialistes Independents                          ;2.080;0,08;0
A;1992;CA;Catalunya                ;;;;;;;;;PH         ;Partit Humanista                                  ;1.752;0,07;0
A;1992;CA;Catalunya                ;;;;;;;;;JRLL       ;Joventut Republicana de Lleida                    ;431;0,02;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;CiU        ;Convergència i Unió                               ;8.484;50,82;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;4.055;24,29;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;2.391;14,32;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PP         ;Partit Popular                                    ;613;3,67;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;IC         ;Iniciativa per Catalunya                          ;425;2,55;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;AV-MEC     ;Alternativa Verda-Moviment Ecologista de Catalunya;168;1,01;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;RUIZ-MATEOS;A.E. José María Ruiz Mateos                       ;107;0,64;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PCC        ;Partit dels Comunistes de Catalunya               ;79;0,47;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;C.D.S.     ;Centre Democràtic i Social                        ;63;0,38;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.S.T.     ;Partido Socialista de los Trabajadores            ;53;0,32;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;CLL        ;Catalunya Lliure                                  ;32;0,19;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;SI         ;Socialistes Independents                          ;14;0,08;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PH         ;Partit Humanista                                  ;10;0,06;0
A;1992;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.O.R.E.   ;Partit Obrer Revolucionari d'Espanya              ;7;0,04;0
A;1992;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;CiU        ;Convergència i Unió                               ;21.454;51,88;0
A;1992;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;9.245;22,36;0
A;1992;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;4.764;11,52;0
A;1992;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PP         ;Partit Popular                                    ;2.507;6,06;0
