"ELECCIO";"ANY";"NIVELL";"AUTONOMIA";"CODI PROVÍNCIA";"PROVÍNCIA";"CODI COMARCA";"COMARCA";"CODI MUNICIPI";"MUNICIPI";"CODI DISTRICTE";"DISTRICTE";"CENS ELECTORAL";"VOTANTS";"% VOTANTS";"ABSTENCIÓ";"% ABSTENCIÓ";"VOTS NULS";"% VOTS NULS";"VOTS EN BLANC";"% VOTS EN BLANC";"VOTS A CANDIDATURES";"% VOTS A CANDIDATURES";"VOTS VÀLIDS";"% VOTS VÀLIDS"
"A";2006;"CA";"Catalunya                ";;"";;"";;"";"";"";5.321.274;2.982.108;56,04;2.339.166;43,96;13.574;0,46;60.244;2,02;2.908.290;97,52;2.968.534;99,54
"A";2006;"CO";"Catalunya                ";;"";1;"Alt Camp                      ";;"";"";"";31.350;18.236;58,17;13.114;41,83;449;2,46;290;1,59;17.497;95,95;17.787;97,54
"A";2006;"CO";"Catalunya                ";;"";2;"Alt Empordà                   ";;"";"";"";81.348;45.813;56,32;35.535;43,68;258;0,56;808;1,76;44.747;97,67;45.555;99,44
"A";2006;"CO";"Catalunya                ";;"";3;"Alt Penedès                   ";;"";"";"";71.701;44.686;62,32;27.015;37,68;308;0,69;822;1,84;43.556;97,47;44.378;99,31
"A";2006;"CO";"Catalunya                ";;"";4;"Alt Urgell                    ";;"";"";"";15.919;9.495;59,65;6.424;40,35;51;0,54;225;2,37;9.219;97,09;9.444;99,46
"A";2006;"CO";"Catalunya                ";;"";5;"Alta Ribagorça                ";;"";"";"";3.097;1.767;57,06;1.330;42,94;4;0,23;40;2,26;1.723;97,51;1.763;99,77
"A";2006;"CO";"Catalunya                ";;"";6;"Anoia                         ";;"";"";"";83.229;46.934;56,39;36.295;43,61;257;0,55;955;2,03;45.722;97,42;46.677;99,45
"A";2006;"CO";"Catalunya                ";;"";7;"Bages                         ";;"";"";"";134.208;79.650;59,35;54.558;40,65;371;0,47;1.689;2,12;77.590;97,41;79.279;99,53
"A";2006;"CO";"Catalunya                ";;"";8;"Baix Camp                     ";;"";"";"";122.184;65.169;53,34;57.015;46,66;288;0,44;1.150;1,76;63.731;97,79;64.881;99,56
"A";2006;"CO";"Catalunya                ";;"";9;"Baix Ebre                     ";;"";"";"";55.048;31.055;56,41;23.993;43,59;226;0,73;571;1,84;30.258;97,43;30.829;99,27
"A";2006;"CO";"Catalunya                ";;"";10;"Baix Empordà                  ";;"";"";"";84.735;47.531;56,09;37.204;43,91;297;0,62;884;1,86;46.350;97,52;47.234;99,38
"A";2006;"CO";"Catalunya                ";;"";11;"Baix Llobregat                ";;"";"";"";572.011;308.969;54,01;263.042;45,99;1.180;0,38;6.044;1,96;301.745;97,66;307.789;99,62
"A";2006;"CO";"Catalunya                ";;"";12;"Baix Penedès                  ";;"";"";"";62.816;30.799;49,03;32.017;50,97;186;0,60;477;1,55;30.136;97,85;30.613;99,40
"A";2006;"CO";"Catalunya                ";;"";13;"Barcelonès                    ";;"";"";"";1.619.556;930.004;57,42;689.552;42,58;3.448;0,37;19.395;2,09;907.161;97,54;926.556;99,63
"A";2006;"CO";"Catalunya                ";;"";14;"Berguedà                      ";;"";"";"";32.368;20.419;63,08;11.949;36,92;170;0,83;488;2,39;19.761;96,78;20.249;99,17
"A";2006;"CO";"Catalunya                ";;"";15;"Cerdanya                      ";;"";"";"";12.358;7.033;56,91;5.325;43,09;45;0,64;173;2,46;6.815;96,90;6.988;99,36
"A";2006;"CO";"Catalunya                ";;"";16;"Conca de Barberà              ";;"";"";"";15.715;9.872;62,82;5.843;37,18;139;1,41;222;2,25;9.511;96,34;9.733;98,59
"A";2006;"CO";"Catalunya                ";;"";17;"Garraf                        ";;"";"";"";95.154;51.994;54,64;43.160;45,36;210;0,40;917;1,76;50.867;97,83;51.784;99,60
"A";2006;"CO";"Catalunya                ";;"";18;"Garrigues                     ";;"";"";"";15.753;10.367;65,81;5.386;34,19;70;0,68;207;2,00;10.090;97,33;10.297;99,32
"A";2006;"CO";"Catalunya                ";;"";19;"Garrotxa                      ";;"";"";"";39.502;25.036;63,38;14.466;36,62;184;0,73;641;2,56;24.211;96,70;24.852;99,27
"A";2006;"CO";"Catalunya                ";;"";20;"Gironès                       ";;"";"";"";113.827;67.353;59,17;46.474;40,83;373;0,55;1.370;2,03;65.610;97,41;66.980;99,45
"A";2006;"CO";"Catalunya                ";;"";21;"Maresme                       ";;"";"";"";300.992;174.159;57,86;126.833;42,14;580;0,33;3.479;2,00;170.100;97,67;173.579;99,67
"A";2006;"CO";"Catalunya                ";;"";22;"Montsià                       ";;"";"";"";46.599;25.828;55,43;20.771;44,57;129;0,50;490;1,90;25.209;97,60;25.699;99,50
"A";2006;"CO";"Catalunya                ";;"";23;"Noguera                       ";;"";"";"";28.867;18.214;63,10;10.653;36,90;143;0,79;397;2,18;17.674;97,04;18.071;99,21
"A";2006;"CO";"Catalunya                ";;"";24;"Osona                         ";;"";"";"";106.071;70.035;66,03;36.036;33,97;356;0,51;1.757;2,51;67.922;96,98;69.679;99,49
"A";2006;"CO";"Catalunya                ";;"";25;"Pallars Jussà                 ";;"";"";"";10.282;6.512;63,33;3.770;36,67;33;0,51;136;2,09;6.343;97,40;6.479;99,49
