"ELECCIO";"ANY";"NIVELL";"AUTONOMIA";"CODI PROVÍNCIA";"PROVÍNCIA";"CODI COMARCA";"COMARCA";"CODI MUNICIPI";"MUNICIPI";"CODI DISTRICTE";"DISTRICTE";"CENS ELECTORAL";"VOTANTS";"% VOTANTS";"ABSTENCIÓ";"% ABSTENCIÓ";"VOTS NULS";"% VOTS NULS";"VOTS EN BLANC";"% VOTS EN BLANC";"VOTS A CANDIDATURES";"% VOTS A CANDIDATURES";"VOTS VÀLIDS";"% VOTS VÀLIDS"
"A";1995;"CA";"Catalunya                ";;"";;"";;"";"";"";5.079.981;3.232.959;63,64;1.847.022;36,36;9.007;0,28;31.417;0,97;3.192.535;98,75;3.223.952;99,72
"A";1995;"CO";"Catalunya                ";;"";1;"Alt Camp                      ";;"";"";"";28.107;19.412;69,06;8.695;30,94;96;0,49;192;0,99;19.124;98,52;19.316;99,51
"A";1995;"CO";"Catalunya                ";;"";2;"Alt Empordà                   ";;"";"";"";74.162;48.115;64,88;26.047;35,12;171;0,36;437;0,91;47.507;98,74;47.944;99,64
"A";1995;"CO";"Catalunya                ";;"";3;"Alt Penedès                   ";;"";"";"";59.421;41.184;69,31;18.237;30,69;137;0,33;281;0,68;40.766;98,99;41.047;99,67
"A";1995;"CO";"Catalunya                ";;"";4;"Alt Urgell                    ";;"";"";"";15.594;10.124;64,92;5.470;35,08;32;0,32;95;0,94;9.997;98,75;10.092;99,68
"A";1995;"CO";"Catalunya                ";;"";5;"Alta Ribagorça                ";;"";"";"";3.083;1.963;63,67;1.120;36,33;8;0,41;18;0,92;1.937;98,68;1.955;99,59
"A";1995;"CO";"Catalunya                ";;"";6;"Anoia                         ";;"";"";"";68.853;45.303;65,80;23.550;34,20;149;0,33;395;0,87;44.759;98,80;45.154;99,67
"A";1995;"CO";"Catalunya                ";;"";7;"Bages                         ";;"";"";"";125.967;85.423;67,81;40.544;32,19;282;0,33;746;0,87;84.395;98,80;85.141;99,67
"A";1995;"CO";"Catalunya                ";;"";8;"Baix Camp                     ";;"";"";"";108.983;67.848;62,26;41.135;37,74;298;0,44;612;0,90;66.938;98,66;67.550;99,56
"A";1995;"CO";"Catalunya                ";;"";9;"Baix Ebre                     ";;"";"";"";53.376;34.070;63,83;19.306;36,17;148;0,43;337;0,99;33.585;98,58;33.922;99,57
"A";1995;"CO";"Catalunya                ";;"";10;"Baix Empordà                  ";;"";"";"";74.685;50.067;67,04;24.618;32,96;149;0,30;407;0,81;49.511;98,89;49.918;99,70
"A";1995;"CO";"Catalunya                ";;"";11;"Baix Llobregat                ";;"";"";"";511.684;303.380;59,29;208.304;40,71;670;0,22;2.936;0,97;299.774;98,81;302.710;99,78
"A";1995;"CO";"Catalunya                ";;"";12;"Baix Penedès                  ";;"";"";"";36.729;23.203;63,17;13.526;36,83;146;0,63;231;1,00;22.826;98,38;23.057;99,37
"A";1995;"CO";"Catalunya                ";;"";13;"Barcelonès                    ";;"";"";"";1.872.665;1.189.171;63,50;683.494;36,50;2.561;0,22;12.966;1,09;1.173.644;98,69;1.186.610;99,78
"A";1995;"CO";"Catalunya                ";;"";14;"Berguedà                      ";;"";"";"";32.749;23.468;71,66;9.281;28,34;120;0,51;219;0,93;23.129;98,56;23.348;99,49
"A";1995;"CO";"Catalunya                ";;"";15;"Cerdanya                      ";;"";"";"";10.680;7.021;65,74;3.659;34,26;24;0,34;76;1,08;6.921;98,58;6.997;99,66
"A";1995;"CO";"Catalunya                ";;"";16;"Conca de Barberà              ";;"";"";"";15.064;10.587;70,28;4.477;29,72;62;0,59;112;1,06;10.413;98,36;10.525;99,41
"A";1995;"CO";"Catalunya                ";;"";17;"Garraf                        ";;"";"";"";71.458;43.693;61,15;27.765;38,85;122;0,28;358;0,82;43.213;98,90;43.571;99,72
"A";1995;"CO";"Catalunya                ";;"";18;"Garrigues                     ";;"";"";"";16.286;11.578;71,09;4.708;28,91;46;0,40;90;0,78;11.442;98,83;11.532;99,60
"A";1995;"CO";"Catalunya                ";;"";19;"Garrotxa                      ";;"";"";"";38.541;27.202;70,58;11.339;29,42;164;0,60;240;0,88;26.798;98,51;27.038;99,40
"A";1995;"CO";"Catalunya                ";;"";20;"Gironès                       ";;"";"";"";101.968;71.604;70,22;30.364;29,78;217;0,30;541;0,76;70.846;98,94;71.387;99,70
"A";1995;"CO";"Catalunya                ";;"";21;"Maresme                       ";;"";"";"";250.756;165.812;66,12;84.944;33,88;415;0,25;1.438;0,87;163.959;98,88;165.397;99,75
"A";1995;"CO";"Catalunya                ";;"";22;"Montsià                       ";;"";"";"";44.400;28.667;64,57;15.733;35,43;132;0,46;267;0,93;28.268;98,61;28.535;99,54
"A";1995;"CO";"Catalunya                ";;"";23;"Noguera                       ";;"";"";"";28.925;20.919;72,32;8.006;27,68;67;0,32;170;0,81;20.682;98,87;20.852;99,68
"A";1995;"CO";"Catalunya                ";;"";24;"Osona                         ";;"";"";"";98.451;70.890;72,01;27.561;27,99;200;0,28;475;0,67;70.215;99,05;70.690;99,72
"A";1995;"CO";"Catalunya                ";;"";25;"Pallars Jussà                 ";;"";"";"";10.868;7.292;67,10;3.576;32,90;29;0,40;59;0,81;7.204;98,79;7.263;99,60
"A";1995;"CO";"Catalunya                ";;"";26;"Pallars Sobirà                ";;"";"";"";4.897;3.416;69,76;1.481;30,24;13;0,38;24;0,70;3.379;98,92;3.403;99,62
"A";1995;"CO";"Catalunya                ";;"";27;"Pla d'Urgell                  ";;"";"";"";23.817;17.445;73,25;6.372;26,75;70;0,40;190;1,09;17.185;98,51;17.375;99,60
"A";1995;"CO";"Catalunya                ";;"";28;"Pla de l'Estany               ";;"";"";"";18.538;13.572;73,21;4.966;26,79;67;0,49;119;0,88;13.386;98,63;13.505;99,51
"A";1995;"CO";"Catalunya                ";;"";29;"Priorat                       ";;"";"";"";7.873;6.019;76,45;1.854;23,55;33;0,55;72;1,20;5.914;98,26;5.986;99,45
"A";1995;"CO";"Catalunya                ";;"";30;"Ribera d'Ebre                 ";;"";"";"";18.502;13.516;73,05;4.986;26,95;76;0,56;103;0,76;13.337;98,68;13.440;99,44
"A";1995;"CO";"Catalunya                ";;"";31;"Ripollès                      ";;"";"";"";22.512;16.918;75,15;5.594;24,85;61;0,36;148;0,87;16.709;98,76;16.857;99,64
"A";1995;"CO";"Catalunya                ";;"";32;"Segarra                       ";;"";"";"";14.359;10.145;70,65;4.214;29,35;41;0,40;101;1,00;10.003;98,60;10.104;99,60
"A";1995;"CO";"Catalunya                ";;"";33;"Segrià                        ";;"";"";"";134.913;86.303;63,97;48.610;36,03;246;0,29;1.014;1,17;85.043;98,54;86.057;99,71
"A";1995;"CO";"Catalunya                ";;"";34;"Selva                         ";;"";"";"";83.089;54.351;65,41;28.738;34,59;214;0,39;345;0,63;53.792;98,97;54.137;99,61
"A";1995;"CO";"Catalunya                ";;"";35;"Solsonès                      ";;"";"";"";9.089;6.258;68,85;2.831;31,15;27;0,43;63;1,01;6.168;98,56;6.231;99,57
"A";1995;"CO";"Catalunya                ";;"";36;"Tarragonès                    ";;"";"";"";133.906;84.410;63,04;49.496;36,96;286;0,34;812;0,96;83.312;98,70;84.124;99,66
"A";1995;"CO";"Catalunya                ";;"";37;"Terra Alta                    ";;"";"";"";10.760;7.723;71,78;3.037;28,22;29;0,38;68;0,88;7.626;98,74;7.694;99,62
"A";1995;"CO";"Catalunya                ";;"";38;"Urgell                        ";;"";"";"";24.629;17.284;70,18;7.345;29,82;75;0,43;203;1,17;17.006;98,39;17.209;99,57
"A";1995;"CO";"Catalunya                ";;"";39;"Consell General d'Aran        ";;"";"";"";5.704;3.581;62,78;2.123;37,22;8;0,22;29;0,81;3.544;98,97;3.573;99,78
"A";1995;"CO";"Catalunya                ";;"";40;"Vallès Occidental             ";;"";"";"";539.622;329.357;61,03;210.265;38,97;808;0,25;3.195;0,97;325.354;98,78;328.549;99,75
"A";1995;"CO";"Catalunya                ";;"";41;"Vallès Oriental               ";;"";"";"";223.889;140.228;62,63;83.661;37,37;395;0,28;1.209;0,86;138.624;98,86;139.833;99,72
"A";1995;"CO";"Catalunya                ";;"";98;"Residents Absents             ";;"";"";"";50.427;14.437;28,63;35.990;71,37;113;0,78;24;0,17;14.300;99,05;14.324;99,22
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"1";"Ciutat Vella        ";76.279;42.664;55,93;33.615;44,07;134;0,31;340;0,80;42.190;98,89;42.530;99,69
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"2";"Eixample            ";227.508;159.161;69,96;68.347;30,04;375;0,24;1.845;1,16;156.941;98,61;158.786;99,76
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"3";"Sants-Montjuïc      ";147.738;94.450;63,93;53.288;36,07;210;0,22;847;0,90;93.393;98,88;94.240;99,78
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"4";"Les Corts           ";72.036;51.700;71,77;20.336;28,23;80;0,15;779;1,51;50.841;98,34;51.620;99,85
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"5";"Sarrià-Sant Gervasi ";118.941;88.065;74,04;30.876;25,96;142;0,16;1.477;1,68;86.446;98,16;87.923;99,84
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"6";"Gràcia              ";105.841;73.141;69,10;32.700;30,90;120;0,16;774;1,06;72.247;98,78;73.021;99,84
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"7";"Horta-Guinardó      ";153.071;97.790;63,89;55.281;36,11;204;0,21;1.203;1,23;96.383;98,56;97.586;99,79
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"8";"Nou Barris          ";153.545;92.431;60,20;61.114;39,80;214;0,23;968;1,05;91.249;98,72;92.217;99,77
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"9";"Sant Andreu         ";118.274;77.185;65,26;41.089;34,74;184;0,24;727;0,94;76.274;98,82;77.001;99,76
"A";1995;"DM";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"10";"Sant Martí          ";178.909;114.748;64,14;64.161;35,86;243;0,21;1.080;0,94;113.425;98,85;114.505;99,79
"A";1995;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";1;"Abrera                                  ";"";"";5.153;3.002;58,26;2.151;41,74;12;0,40;28;0,93;2.962;98,67;2.990;99,60
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";2;"Aguilar de Segarra                      ";"";"";182;130;71,43;52;28,57;1;0,77;0;0,00;129;99,23;129;99,23
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";3;"Alella                                  ";"";"";5.887;4.066;69,07;1.821;30,93;19;0,47;39;0,96;4.008;98,57;4.047;99,53
"A";1995;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";4;"Alpens                                  ";"";"";206;166;80,58;40;19,42;0;0,00;1;0,60;165;99,40;166;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";5;"Ametlla del Vallès, l'                  ";"";"";3.416;2.447;71,63;969;28,37;3;0,12;25;1,02;2.419;98,86;2.444;99,88
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";6;"Arenys de Mar                           ";"";"";9.432;6.606;70,04;2.826;29,96;18;0,27;40;0,61;6.548;99,12;6.588;99,73
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";7;"Arenys de Munt                          ";"";"";4.305;3.098;71,96;1.207;28,04;3;0,10;24;0,77;3.071;99,13;3.095;99,90
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";8;"Argençola                               ";"";"";163;109;66,87;54;33,13;2;1,83;0;0,00;107;98,17;107;98,17
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";9;"Argentona                               ";"";"";6.829;4.774;69,91;2.055;30,09;9;0,19;38;0,80;4.727;99,02;4.765;99,81
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";10;"Artés                                   ";"";"";3.438;2.476;72,02;962;27,98;9;0,36;11;0,44;2.456;99,19;2.467;99,64
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";11;"Avià                                    ";"";"";1.502;1.073;71,44;429;28,56;3;0,28;12;1,12;1.058;98,60;1.070;99,72
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";12;"Avinyó                                  ";"";"";1.620;1.191;73,52;429;26,48;8;0,67;10;0,84;1.173;98,49;1.183;99,33
"A";1995;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";13;"Avinyonet del Penedès                   ";"";"";1.040;707;67,98;333;32,02;6;0,85;1;0,14;700;99,01;701;99,15
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";14;"Aiguafreda                              ";"";"";1.699;1.282;75,46;417;24,54;3;0,23;10;0,78;1.269;98,99;1.279;99,77
"A";1995;"MU";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";15;"Badalona                                ";"";"";172.905;97.197;56,21;75.708;43,79;190;0,20;894;0,92;96.113;98,88;97.007;99,80
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";16;"Bagà                                    ";"";"";1.733;1.239;71,49;494;28,51;8;0,65;12;0,97;1.219;98,39;1.231;99,35
"A";1995;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";17;"Balenyà                                 ";"";"";2.557;1.808;70,71;749;29,29;8;0,44;7;0,39;1.793;99,17;1.800;99,56
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";18;"Balsareny                               ";"";"";2.776;1.859;66,97;917;33,03;12;0,65;13;0,70;1.834;98,66;1.847;99,35
"A";1995;"MU";"Catalunya                ";8;"Barcelona";13;"Barcelonès                    ";19;"Barcelona                               ";"";"";1.352.142;891.335;65,92;460.807;34,08;1.906;0,21;10.040;1,13;879.389;98,66;889.429;99,79
"A";1995;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";20;"Begues                                  ";"";"";2.175;1.597;73,43;578;26,57;3;0,19;25;1,57;1.569;98,25;1.594;99,81
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";21;"Bellprat                                ";"";"";79;56;70,89;23;29,11;1;1,79;0;0,00;55;98,21;55;98,21
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";22;"Berga                                   ";"";"";12.009;8.212;68,38;3.797;31,62;33;0,40;86;1,05;8.093;98,55;8.179;99,60
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";23;"Bigues i Riells                         ";"";"";3.068;2.009;65,48;1.059;34,52;3;0,15;15;0,75;1.991;99,10;2.006;99,85
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";24;"Borredà                                 ";"";"";386;320;82,90;66;17,10;0;0,00;3;0,94;317;99,06;320;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";25;"Bruc, el                                ";"";"";661;478;72,31;183;27,69;0;0,00;5;1,05;473;98,95;478;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";26;"Brull, el                               ";"";"";171;123;71,93;48;28,07;0;0,00;2;1,63;121;98,37;123;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";27;"Cabanyes, les                           ";"";"";364;294;80,77;70;19,23;1;0,34;1;0,34;292;99,32;293;99,66
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";28;"Cabrera d'Igualada                      ";"";"";310;206;66,45;104;33,55;0;0,00;1;0,49;205;99,51;206;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";29;"Cabrera de Mar                          ";"";"";2.530;1.858;73,44;672;26,56;5;0,27;11;0,59;1.842;99,14;1.853;99,73
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";30;"Cabrils                                 ";"";"";2.839;1.955;68,86;884;31,14;9;0,46;31;1,59;1.915;97,95;1.946;99,54
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";31;"Calaf                                   ";"";"";2.565;1.907;74,35;658;25,65;3;0,16;15;0,79;1.889;99,06;1.904;99,84
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";32;"Caldes d'Estrac                         ";"";"";1.365;985;72,16;380;27,84;0;0,00;5;0,51;980;99,49;985;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";33;"Caldes de Montbui                       ";"";"";10.058;6.464;64,27;3.594;35,73;23;0,36;60;0,93;6.381;98,72;6.441;99,64
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";34;"Calders                                 ";"";"";495;390;78,79;105;21,21;6;1,54;2;0,51;382;97,95;384;98,46
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";35;"Calella                                 ";"";"";9.719;6.178;63,57;3.541;36,43;33;0,53;58;0,94;6.087;98,53;6.145;99,47
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";36;"Calonge de Segarra                      ";"";"";156;133;85,26;23;14,74;0;0,00;2;1,50;131;98,50;133;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";37;"Calldetenes                             ";"";"";1.275;1.016;79,69;259;20,31;5;0,49;5;0,49;1.006;99,02;1.011;99,51
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";38;"Callús                                  ";"";"";1.116;802;71,86;314;28,14;6;0,75;5;0,62;791;98,63;796;99,25
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";39;"Campins                                 ";"";"";190;147;77,37;43;22,63;0;0,00;2;1,36;145;98,64;147;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";40;"Canet de Mar                            ";"";"";7.431;5.127;68,99;2.304;31,01;19;0,37;49;0,96;5.059;98,67;5.108;99,63
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";41;"Canovelles                              ";"";"";10.310;6.120;59,36;4.190;40,64;13;0,21;42;0,69;6.065;99,10;6.107;99,79
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";42;"Cànoves i Samalús                       ";"";"";1.176;802;68,20;374;31,80;3;0,37;7;0,87;792;98,75;799;99,63
"A";1995;"MU";"Catalunya                ";8;"Barcelona";17;"Garraf                        ";43;"Canyelles                               ";"";"";965;639;66,22;326;33,78;6;0,94;8;1,25;625;97,81;633;99,06
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";44;"Capellades                              ";"";"";3.967;2.709;68,29;1.258;31,71;10;0,37;18;0,66;2.681;98,97;2.699;99,63
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";45;"Capolat                                 ";"";"";63;51;80,95;12;19,05;0;0,00;0;0,00;51;100,00;51;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";46;"Cardedeu                                ";"";"";8.185;5.608;68,52;2.577;31,48;12;0,21;63;1,12;5.533;98,66;5.596;99,79
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";47;"Cardona                                 ";"";"";5.095;3.480;68,30;1.615;31,70;15;0,43;39;1,12;3.426;98,45;3.465;99,57
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";48;"Carme                                   ";"";"";579;464;80,14;115;19,86;0;0,00;1;0,22;463;99,78;464;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";49;"Casserres                               ";"";"";1.388;976;70,32;412;29,68;3;0,31;5;0,51;968;99,18;973;99,69
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";50;"Castellar del Riu                       ";"";"";80;49;61,25;31;38,75;1;2,04;1;2,04;47;95,92;48;97,96
"A";1995;"MU";"Catalunya                ";8;"Barcelona";40;"Vallès Occidental             ";51;"Castellar del Vallès                    ";"";"";12.244;8.069;65,90;4.175;34,10;12;0,15;61;0,76;7.996;99,10;8.057;99,85
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";52;"Castellar de n'Hug                      ";"";"";138;114;82,61;24;17,39;0;0,00;0;0,00;114;100,00;114;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";53;"Castellbell i el Vilar                  ";"";"";2.405;1.576;65,53;829;34,47;5;0,32;5;0,32;1.566;99,37;1.571;99,68
"A";1995;"MU";"Catalunya                ";8;"Barcelona";40;"Vallès Occidental             ";54;"Castellbisbal                           ";"";"";4.645;2.913;62,71;1.732;37,29;10;0,34;28;0,96;2.875;98,70;2.903;99,66
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";55;"Castellcir                              ";"";"";229;178;77,73;51;22,27;1;0,56;2;1,12;175;98,31;177;99,44
"A";1995;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";56;"Castelldefels                           ";"";"";28.225;16.061;56,90;12.164;43,10;31;0,19;195;1,21;15.835;98,59;16.030;99,81
"A";1995;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";57;"Castell de l'Areny                      ";"";"";45;36;80,00;9;20,00;0;0,00;1;2,78;35;97,22;36;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";58;"Castellet i la Gornal                   ";"";"";1.049;687;65,49;362;34,51;8;1,16;2;0,29;677;98,54;679;98,84
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";59;"Castellfollit del Boix                  ";"";"";277;174;62,82;103;37,18;0;0,00;3;1,72;171;98,28;174;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";60;"Castellfollit de Riubregós              ";"";"";207;159;76,81;48;23,19;1;0,63;3;1,89;155;97,48;158;99,37
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";61;"Castellgalí                             ";"";"";656;497;75,76;159;24,24;0;0,00;2;0,40;495;99,60;497;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";62;"Castellnou de Bages                     ";"";"";263;183;69,58;80;30,42;0;0,00;2;1,09;181;98,91;183;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";63;"Castellolí                              ";"";"";358;289;80,73;69;19,27;0;0,00;5;1,73;284;98,27;289;100,00
"A";1995;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";64;"Castellterçol                           ";"";"";1.632;1.301;79,72;331;20,28;6;0,46;8;0,61;1.287;98,92;1.295;99,54
"A";1995;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";65;"Castellví de la Marca                   ";"";"";1.159;734;63,33;425;36,67;3;0,41;8;1,09;723;98,50;731;99,59
"A";1995;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";66;"Castellví de Rosanes                    ";"";"";708;525;74,15;183;25,85;2;0,38;4;0,76;519;98,86;523;99,62
