ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;1988;CA;Catalunya                ;;;;;;;;;CiU        ;Convergència i Unió                               ;1.232.514;45,72;69
A;1988;CA;Catalunya                ;;;;;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;802.828;29,78;42
A;1988;CA;Catalunya                ;;;;;;;;;IC         ;Iniciativa per Catalunya                          ;209.211;7,76;9
A;1988;CA;Catalunya                ;;;;;;;;;A.P.       ;Alianza Popular                                   ;143.241;5,31;6
A;1988;CA;Catalunya                ;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;111.647;4,14;6
A;1988;CA;Catalunya                ;;;;;;;;;C.D.S.     ;Centre Democràtic i Social                        ;103.351;3,83;3
A;1988;CA;Catalunya                ;;;;;;;;;A.V-M.E.C. ;Alternativa Verda-Moviment Ecologista Catalunya   ;16.346;0,61;0
A;1988;CA;Catalunya                ;;;;;;;;;E.V.E.     ;Els Verds Ecologistes                             ;8.730;0,32;0
A;1988;CA;Catalunya                ;;;;;;;;;E.V.       ;Els Verds                                         ;8.105;0,30;0
A;1988;CA;Catalunya                ;;;;;;;;;P.E.C.VERDE;Partit Ecologista de Catalunya VERDE              ;5.927;0,22;0
A;1988;CA;Catalunya                ;;;;;;;;;P.A.C.     ;Partido Andaluz de Cataluña                       ;5.815;0,22;0
A;1988;CA;Catalunya                ;;;;;;;;;P.S.T.     ;Partido Socialista de los Trabajadores            ;5.794;0,21;0
A;1988;CA;Catalunya                ;;;;;;;;;P.S.D.C.   ;Partit Socialdemòcrata de Catalunya               ;5.156;0,19;0
A;1988;CA;Catalunya                ;;;;;;;;;JJ.EE.     ;Juntas Españolas                                  ;4.524;0,17;0
A;1988;CA;Catalunya                ;;;;;;;;;U.C.E.     ;Unificació Comunista d'Espanya                    ;3.358;0,12;0
A;1988;CA;Catalunya                ;;;;;;;;;P.O.R.E.   ;Partit Obrer Revolucionari d'Espanya              ;2.727;0,10;0
A;1988;CA;Catalunya                ;;;;;;;;;LOC        ;Liga Obrera Comunista                             ;2.228;0,08;0
A;1988;CA;Catalunya                ;;;;;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;2.202;0,08;0
A;1988;CA;Catalunya                ;;;;;;;;;PH         ;Partit Humanista de Catalunya                     ;2.195;0,08;0
A;1988;CA;Catalunya                ;;;;;;;;;A.R.       ;Aliança per la República                          ;1.119;0,04;0
A;1988;CA;Catalunya                ;;;;;;;;;U.P.R.     ;Unitat Popular Republicana                        ;1.066;0,04;0
A;1988;CA;Catalunya                ;;;;;;;;;PED        ;Unidad Centrista                                  ;905;0,03;0
A;1988;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;CiU        ;Convergència i Unió                               ;9.651;55,93;0
A;1988;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;4.248;24,62;0
A;1988;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;1.245;7,21;0
A;1988;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;A.P.       ;Alianza Popular                                   ;621;3,60;0
A;1988;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;IC         ;Iniciativa per Catalunya                          ;615;3,56;0
A;1988;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;C.D.S.     ;Centre Democràtic i Social                        ;379;2,20;0
A;1988;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;A.V-M.E.C. ;Alternativa Verda-Moviment Ecologista Catalunya   ;124;0,72;0
A;1988;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;E.V.       ;Els Verds                                         ;52;0,30;0
