"ELECCIO";"ANY";"NIVELL";"AUTONOMIA";"CODI PROVÍNCIA";"PROVÍNCIA";"CODI COMARCA";"COMARCA";"CODI MUNICIPI";"MUNICIPI";"CODI DISTRICTE";"DISTRICTE";"CENS ELECTORAL";"VOTANTS";"% VOTANTS";"ABSTENCIÓ";"% ABSTENCIÓ";"VOTS NULS";"% VOTS NULS";"VOTS EN BLANC";"% VOTS EN BLANC";"VOTS A CANDIDATURES";"% VOTS A CANDIDATURES";"VOTS VÀLIDS";"% VOTS VÀLIDS"
"A";1999;"CA";"Catalunya                ";;"";;"";;"";"";"";5.293.657;3.133.926;59,20;2.159.731;40,80;7.836;0,25;28.968;0,92;3.097.122;98,83;3.126.090;99,75
"A";1999;"CO";"Catalunya                ";;"";1;"Alt Camp                      ";;"";"";"";28.892;18.368;63,57;10.524;36,43;82;0,45;154;0,84;18.132;98,72;18.286;99,55
"A";1999;"CO";"Catalunya                ";;"";2;"Alt Empordà                   ";;"";"";"";78.548;47.246;60,15;31.302;39,85;137;0,29;421;0,89;46.688;98,82;47.109;99,71
"A";1999;"CO";"Catalunya                ";;"";3;"Alt Penedès                   ";;"";"";"";64.203;41.742;65,02;22.461;34,98;134;0,32;245;0,59;41.363;99,09;41.608;99,68
"A";1999;"CO";"Catalunya                ";;"";4;"Alt Urgell                    ";;"";"";"";16.181;9.757;60,30;6.424;39,70;12;0,12;69;0,71;9.676;99,17;9.745;99,88
"A";1999;"CO";"Catalunya                ";;"";5;"Alta Ribagorça                ";;"";"";"";3.106;1.843;59,34;1.263;40,66;4;0,22;9;0,49;1.830;99,29;1.839;99,78
"A";1999;"CO";"Catalunya                ";;"";6;"Anoia                         ";;"";"";"";74.552;45.844;61,49;28.708;38,51;136;0,30;397;0,87;45.311;98,84;45.708;99,70
"A";1999;"CO";"Catalunya                ";;"";7;"Bages                         ";;"";"";"";130.416;82.847;63,53;47.569;36,47;221;0,27;713;0,86;81.913;98,87;82.626;99,73
"A";1999;"CO";"Catalunya                ";;"";8;"Baix Camp                     ";;"";"";"";114.028;62.939;55,20;51.089;44,80;182;0,29;544;0,86;62.213;98,85;62.757;99,71
"A";1999;"CO";"Catalunya                ";;"";9;"Baix Ebre                     ";;"";"";"";54.404;31.044;57,06;23.360;42,94;124;0,40;342;1,10;30.578;98,50;30.920;99,60
"A";1999;"CO";"Catalunya                ";;"";10;"Baix Empordà                  ";;"";"";"";80.447;49.200;61,16;31.247;38,84;181;0,37;458;0,93;48.561;98,70;49.019;99,63
