ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;1980;CA;Catalunya                ;;;;;;;;;CiU        ;Convergència i Unió                               ;752.943;27,83;43
A;1980;CA;Catalunya                ;;;;;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;606.717;22,43;33
A;1980;CA;Catalunya                ;;;;;;;;;PSUC       ;Partit Socialista Unificat de Catalunya           ;507.753;18,77;25
A;1980;CA;Catalunya                ;;;;;;;;;CC-UCD     ;Centristes de Catalunya-UCD                       ;286.922;10,61;18
A;1980;CA;Catalunya                ;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;240.871;8,90;14
A;1980;CA;Catalunya                ;;;;;;;;;PSA        ;Partido Socialista de Andalucía-Partido Andaluz   ;71.841;2,66;2
A;1980;CA;Catalunya                ;;;;;;;;;SC         ;Solidaritat Catalana                              ;64.004;2,37;0
A;1980;CA;Catalunya                ;;;;;;;;;NE         ;Nacionalistes d'Esquerra                          ;44.798;1,66;0
A;1980;CA;Catalunya                ;;;;;;;;;CUPS       ;Unitat Popular del Socialisme C.U.P.S.            ;33.086;1,22;0
A;1980;CA;Catalunya                ;;;;;;;;;FN         ;Fuerza Nueva                                      ;27.807;1,03;0
A;1980;CA;Catalunya                ;;;;;;;;;BEAN-UP    ;Bloc d'Esquerra d'Alliberament Nacional de Catalun;14.077;0,52;0
A;1980;CA;Catalunya                ;;;;;;;;;P.C.O.de C.;Partit Comunista Obrer de Catalunya               ;12.963;0,48;0
A;1980;CA;Catalunya                ;;;;;;;;;PCT-PCC    ;Unidad Comunista                                  ;8.198;0,30;0
A;1980;CA;Catalunya                ;;;;;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;6.637;0,25;0
A;1980;CA;Catalunya                ;;;;;;;;;PNI        ;Partido Nacional Independiente                    ;4.741;0,18;0
