ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;2003;CA;Catalunya                ;;;;;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;1.031.454;31,16;42
A;2003;CA;Catalunya                ;;;;;;;;;CiU        ;Convergència i Unió                               ;1.024.425;30,94;46
A;2003;CA;Catalunya                ;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;544.324;16,44;23
A;2003;CA;Catalunya                ;;;;;;;;;PP         ;Partit Popular                                    ;393.499;11,89;15
A;2003;CA;Catalunya                ;;;;;;;;;ICV-EA     ;Iniciativa per Catalunya-Esquerra Alternativa     ;241.163;7,28;9
A;2003;CA;Catalunya                ;;;;;;;;;EV-AE      ;Els Verds-l'Alternativa Ecologista                ;18.470;0,56;0
A;2003;CA;Catalunya                ;;;;;;;;;PxC        ;Plataforma per Catalunya                          ;4.892;0,15;0
A;2003;CA;Catalunya                ;;;;;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;4.226;0,13;0
A;2003;CA;Catalunya                ;;;;;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;2.580;0,08;0
A;2003;CA;Catalunya                ;;;;;;;;;Ei         ;Escons Insubmisos                                 ;2.220;0,07;0
A;2003;CA;Catalunya                ;;;;;;;;;E.CAT      ;Estat Català                                      ;1.890;0,06;0
A;2003;CA;Catalunya                ;;;;;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;1.886;0,06;0
A;2003;CA;Catalunya                ;;;;;;;;;IR-PRE     ;Izquierda Republicana-Partit Republicà d'Esquerra ;1.714;0,05;0
A;2003;CA;Catalunya                ;;;;;;;;;PH         ;Partit Humanista de Catalunya                     ;1.647;0,05;0
A;2003;CA;Catalunya                ;;;;;;;;;UADEP      ;Una Altra Democràcia és Possible                  ;1.386;0,04;0
A;2003;CA;Catalunya                ;;;;;;;;;C.D.S.     ;Centre Democràtic i Social                        ;1.073;0,03;0
A;2003;CA;Catalunya                ;;;;;;;;;P.N.CA.    ;Partido Nacionalista Caló                         ;812;0,02;0
A;2003;CA;Catalunya                ;;;;;;;;;MSR        ;Movimiento Social Republicano                     ;804;0,02;0
A;2003;CA;Catalunya                ;;;;;;;;;LI (LIT-CI);Lluita Internacionalista                          ;802;0,02;0
A;2003;CA;Catalunya                ;;;;;;;;;EBS        ;Españoles Bajo el Separatismo                     ;603;0,02;0
A;2003;CA;Catalunya                ;;;;;;;;;CENB       ;Ciudadanos en Blanco                              ;401;0,01;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;CiU        ;Convergència i Unió                               ;7.970;40,63;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;4.695;23,93;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;4.279;21,81;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PP         ;Partit Popular                                    ;1.528;7,79;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;ICV-EA     ;Iniciativa per Catalunya-Esquerra Alternativa     ;822;4,19;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PxC        ;Plataforma per Catalunya                          ;53;0,27;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;IR-PRE     ;Izquierda Republicana-Partit Republicà d'Esquerra ;27;0,14;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;25;0,13;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;Ei         ;Escons Insubmisos                                 ;17;0,09;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;E.CAT      ;Estat Català                                      ;14;0,07;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;9;0,05;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PH         ;Partit Humanista de Catalunya                     ;6;0,03;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;MSR        ;Movimiento Social Republicano                     ;6;0,03;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.N.CA.    ;Partido Nacionalista Caló                         ;3;0,02;0
A;2003;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;2;0,01;0
A;2003;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;CiU        ;Convergència i Unió                               ;19.029;37,76;0
A;2003;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;12.267;24,34;0
A;2003;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;10.520;20,87;0
A;2003;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PP         ;Partit Popular                                    ;5.437;10,79;0
A;2003;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;ICV-EA     ;Iniciativa per Catalunya-Esquerra Alternativa     ;2.005;3,98;0
A;2003;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;284;0,56;0
A;2003;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;107;0,21;0
A;2003;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;IR-PRE     ;Izquierda Republicana-Partit Republicà d'Esquerra ;94;0,19;0
