ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;1984;CA;Catalunya                ;;;;;;;;;CiU        ;Convergència i Unió                               ;1.346.729;46,80;72
A;1984;CA;Catalunya                ;;;;;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;866.281;30,11;41
A;1984;CA;Catalunya                ;;;;;;;;;AP-PDP-UL  ;Alianza Popular-Partido Demócrata Popular-U.Libe  ;221.601;7,70;11
A;1984;CA;Catalunya                ;;;;;;;;;PSUC       ;Partit Socialista Unificat de Catalunya           ;160.581;5,58;6
A;1984;CA;Catalunya                ;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;126.943;4,41;5
A;1984;CA;Catalunya                ;;;;;;;;;PCC        ;Partit dels Comunistes de Catalunya               ;68.836;2,39;0
A;1984;CA;Catalunya                ;;;;;;;;;ENTESA EC  ;C.E. Entesa de l'Esquerra Catalana                ;35.937;1,25;0
A;1984;CA;Catalunya                ;;;;;;;;;VERDE      ;Partido Verde (Vértice Esp. Reiv. Desr. Ecológico);8.714;0,30;0
A;1984;CA;Catalunya                ;;;;;;;;;P.S.D.C.   ;Partit Socialdemòcrata de Catalunya               ;6.768;0,24;0
A;1984;CA;Catalunya                ;;;;;;;;;P.S.T.     ;Partido Socialista de los Trabajadores            ;5.381;0,19;0
A;1984;CA;Catalunya                ;;;;;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;3.533;0,12;0
A;1984;CA;Catalunya                ;;;;;;;;;P.O.R.E.   ;Partit Obrer Revolucionari d'Espanya              ;2.694;0,09;0
A;1984;CA;Catalunya                ;;;;;;;;;P.C.O.de C.;Partit Comunista Obrer de Catalunya               ;2.593;0,09;0
A;1984;CA;Catalunya                ;;;;;;;;;LCR        ;Liga Comunista Revolucionaria                     ;1.861;0,06;0
A;1984;CA;Catalunya                ;;;;;;;;;PCE (ML)   ;Partido Comunista de España (Marxista-Leninista)  ;1.834;0,06;0
A;1984;CA;Catalunya                ;;;;;;;;;P.E.D.     ;Partido Español Demócrata                         ;1.110;0,04;0
A;1984;CA;Catalunya                ;;;;;;;;;P LLEIDA   ;Partit Lleidatà                                   ;856;0,03;0
A;1984;CA;Catalunya                ;;;;;;;;;UA-PNA     ;Unitat d'Aran-Partit Nacionalista Aranès          ;787;0,03;0
A;1984;CA;Catalunya                ;;;;;;;;;MCC        ;Moviment Comunista de Catalunya                   ;164;0,01;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;CiU        ;Convergència i Unió                               ;11.047;59,34;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;4.195;22,53;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;1.007;5,41;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;AP-PDP-UL  ;Alianza Popular-Partido Demócrata Popular-U.Libe  ;963;5,17;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PSUC       ;Partit Socialista Unificat de Catalunya           ;618;3,32;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;ENTESA EC  ;C.E. Entesa de l'Esquerra Catalana                ;365;1,96;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PCC        ;Partit dels Comunistes de Catalunya               ;230;1,24;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.S.D.C.   ;Partit Socialdemòcrata de Catalunya               ;22;0,12;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;LCR        ;Liga Comunista Revolucionaria                     ;19;0,10;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.S.T.     ;Partido Socialista de los Trabajadores            ;17;0,09;0
A;1984;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.O.R.E.   ;Partit Obrer Revolucionari d'Espanya              ;15;0,08;0
