ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;1995;CA;Catalunya                ;;;;;;;;;CiU        ;Convergència i Unió                               ;1.320.071;40,95;60
A;1995;CA;Catalunya                ;;;;;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;802.252;24,88;34
A;1995;CA;Catalunya                ;;;;;;;;;PP         ;Partit Popular                                    ;421.752;13,08;17
A;1995;CA;Catalunya                ;;;;;;;;;IC-EV      ;Iniciativa per Catalunya-Els Verds                ;313.092;9,71;11
A;1995;CA;Catalunya                ;;;;;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;305.867;9,49;13
A;1995;CA;Catalunya                ;;;;;;;;;AEC-EVE    ;Alternativa Ecologista de Catalunya (Verds Euro.) ;14.651;0,45;0
A;1995;CA;Catalunya                ;;;;;;;;;P.E.C.     ;Partit Ecologista de Catalunya                    ;5.639;0,17;0
A;1995;CA;Catalunya                ;;;;;;;;;P.O.R.     ;Partit Obrer Revolucionari                        ;3.886;0,12;0
A;1995;CA;Catalunya                ;;;;;;;;;P.R.T.     ;Partit Revolucionari dels Treballadors            ;2.221;0,07;0
A;1995;CA;Catalunya                ;;;;;;;;;PICC-PIE   ;P.I.Ciutadans de Catalunya-F.P.Indep. de España   ;1.580;0,05;0
A;1995;CA;Catalunya                ;;;;;;;;;PC-NPS     ;Plataforma Cívica-Nou Partit Socialista           ;869;0,03;0
A;1995;CA;Catalunya                ;;;;;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;327;0,01;0
A;1995;CA;Catalunya                ;;;;;;;;;P.A.E.     ;Partido de los Trabajadores Autónomos de España   ;194;0,01;0
A;1995;CA;Catalunya                ;;;;;;;;;P.DE.P     ;Partido Democrático del Pueblo                    ;134;0,00;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;CiU        ;Convergència i Unió                               ;9.219;47,73;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;4.210;21,80;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;3.089;15,99;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PP         ;Partit Popular                                    ;1.692;8,76;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;IC-EV      ;Iniciativa per Catalunya-Els Verds                ;814;4,21;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;AEC-EVE    ;Alternativa Ecologista de Catalunya (Verds Euro.) ;63;0,33;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.O.R.     ;Partit Obrer Revolucionari                        ;11;0,06;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.A.E.     ;Partido de los Trabajadores Autónomos de España   ;9;0,05;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;8;0,04;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;PC-NPS     ;Plataforma Cívica-Nou Partit Socialista           ;6;0,03;0
A;1995;CO;Catalunya                ;;;1;Alt Camp                      ;;;;;P.DE.P     ;Partido Democrático del Pueblo                    ;3;0,02;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;CiU        ;Convergència i Unió                               ;22.669;47,28;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;12.175;25,39;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;5.486;11,44;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PP         ;Partit Popular                                    ;5.139;10,72;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;IC-EV      ;Iniciativa per Catalunya-Els Verds                ;1.652;3,45;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;AEC-EVE    ;Alternativa Ecologista de Catalunya (Verds Euro.) ;239;0,50;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;PICC-PIE   ;P.I.Ciutadans de Catalunya-F.P.Indep. de España   ;57;0,12;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;P.O.R.     ;Partit Obrer Revolucionari                        ;51;0,11;0
A;1995;CO;Catalunya                ;;;2;Alt Empordà                   ;;;;;P.R.T.     ;Partit Revolucionari dels Treballadors            ;39;0,08;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;CiU        ;Convergència i Unió                               ;20.550;50,06;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PSC-PSOE   ;Partit dels Socialistes de Catalunya-PSOE         ;9.596;23,38;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;5.209;12,69;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PP         ;Partit Popular                                    ;3.138;7,64;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;IC-EV      ;Iniciativa per Catalunya-Els Verds                ;1.925;4,69;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;AEC-EVE    ;Alternativa Ecologista de Catalunya (Verds Euro.) ;133;0,32;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;P.E.C.     ;Partit Ecologista de Catalunya                    ;82;0,20;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PICC-PIE   ;P.I.Ciutadans de Catalunya-F.P.Indep. de España   ;47;0,11;0
A;1995;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;P.O.R.     ;Partit Obrer Revolucionari                        ;32;0,08;0
