Siglas	Votos	Diputados	Candidatura
censo	3473051	85	
participacion	2217831		
abstencion	1255220		
nulos	10627		
blancos	10495		
CiU        	978576	41	Convergència i Unió                               
PSC-PSOE   	712278	29	Partit dels Socialistes de Catalunya-PSOE         
AP-PDP-UL  	166905	7	Alianza Popular-Partido Demócrata Popular-U.Libe  
PSUC       	134777	5	Partit Socialista Unificat de Catalunya           
ERC        	90255	3	Esquerra Republicana de Catalunya                 
PCC        	60900	0	Partit dels Comunistes de Catalunya               
ENTESA EC  	24702	0	C.E. Entesa de l'Esquerra Catalana                
VERDE      	8714	0	Partido Verde (Vértice Esp. Reiv. Desr. Ecológico)
P.S.D.C.   	5250	0	Partit Socialdemòcrata de Catalunya               
P.S.T.     	3930	0	Partido Socialista de los Trabajadores            
POSI       	2467	0	Partit Obrer Socialista Internacionalista         
P.C.O.de C.	2131	0	Partit Comunista Obrer de Catalunya               
P.O.R.E.   	1920	0	Partit Obrer Revolucionari d'Espanya              
PCE (ML)   	1418	0	Partido Comunista de España (Marxista-Leninista)  
LCR        	1376	0	Liga Comunista Revolucionaria                     
P.E.D.     	1110	0	Partido Español Demócrata                         
MCC        	0	0	Moviment Comunista de Catalunya                   
